ANATOMY,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu72,11,10,16,12,7,165,25,17,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu73,5,4,4,3,4,4,13,272,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia atriviolacea
Zotu74,10,8,9,3,31,12,13,27,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,blastococcus,blastococcus colisei
Zotu75,3,6,7,4,6,9,41,146,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia consociata
Zotu76,11,10,9,6,12,12,11,12,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,acidiferrimicrobium,acidiferrimicrobium australe
Zotu77,4,0,1,5,3,4,9,70,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu78,1,1,3,5,2,5,6,96,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga vignae
Zotu79,7,8,4,4,5,2,6,10,bacteria,acidobacteriota,blastocatellia,blastocatellales,pyrinomonadaceae,pyrinomonas,pyrinomonas methylaliphatogenes
Zotu80,83,84,163,3,181,250,1,3,archaea,nitrososphaerota,nitrososphaeria,nitrososphaerales,nitrososphaeraceae,nitrososphaera,candidatus nitrososphaera gargensis
Zotu81,1,1,0,0,2,1,22,38,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu82,3,1,3,2,3,0,2,5,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter agilis
Zotu83,3,8,3,8,2,12,43,50,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,ramlibacter,ramlibacter monticola
Zotu84,543,1630,686,92,15,2,11,3,archaea,methanobacteriota,thermoplasmata,methanomassiliicoccales,candidatus methanomethylophilaceae,candidatus methanomethylophilus,candidatus methanomethylophilus alvus
Zotu85,4,4,4,278,3,15,11,4,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,labrys,labrys wisconsinensis
Zotu86,16,5,13,12,18,9,10,24,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,kocuria,kocuria rhizophila
Zotu87,5,8,16,3,98,370,91,11,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,actinomarinicola,actinomarinicola tropica
Zotu88,5,4,10,164,20,71,29,19,bacteria,chloroflexota,thermomicrobia,sphaerobacterales,sphaerobacteraceae,sphaerobacter,sphaerobacter thermophilus
Zotu89,3,7,4,6,5,8,7,5,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu90,0,6,2,1,1,3,6,10,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu91,1,2,3,2,1,2,1,26,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,nibribacter,nibribacter koreensis
Zotu92,3,1,18,42,1,4,5,1,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,roseateles,pelomonas aquatica
Zotu93,4,5,1,2,2,1,15,103,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,burkholderiales,aquabacterium,aquabacterium limnoticum
Zotu94,4,3,3,193,3,1,6,18,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu95,4,9,81,10,6,52,21,10,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu96,133,802,472,404,61,586,184,21,bacteria,acidobacteriota,blastocatellia,blastocatellales,pyrinomonadaceae,pyrinomonas,pyrinomonas methylaliphatogenes
Zotu97,168,315,3,4,1126,0,6,1,archaea,methanobacteriota,thermoplasmata,methanomassiliicoccales,methanomassiliicoccaceae,methanomassiliicoccus,candidatus methanomassiliicoccus intestinalis
Zotu98,3,3,2,2,3,3,3,2,archaea,nitrososphaerota,nitrososphaeria,nitrososphaerales,nitrososphaeraceae,candidatus nitrososphaera,candidatus nitrososphaera
Zotu99,16,9,0,3,4,10,3,45,bacteria,nitrospirota,nitrospiria,nitrospirales,nitrospiraceae,nitrospira,nitrospira moscoviensis
Zotu100,7,6,4,3,2,3,14,126,bacteria,pseudomonadota,gammaproteobacteria,xanthomonadales,xanthomonadaceae,lysobacter,lysobacter xinjiangensis
Zotu101,9,25,114,13,9,43,30,5,bacteria,actinomycetota,actinomycetes,frankiales,frankiaceae,protofrankia,protofrankia coriariae
Zotu102,12,21,78,0,41,98,15,7,bacteria,planctomycetota,planctomycetia,pirellulales,pirellulaceae,blastopirellula,blastopirellula marina
Zotu103,7,2,3,5,3,9,14,10,bacteria,pseudomonadota,gammaproteobacteria,moraxellales,moraxellaceae,moraxella,moraxella osloensis
Zotu104,40,8,2,0,6,1,13,4,bacteria,bacillota,bacilli,bacillales,bacillaceae,bacillus,bacillus funiculus
Zotu105,13,26,8,207,154,282,1125,161,bacteria,chloroflexota,chloroflexia,kallotenuales,kallotenuaceae,kallotenue,kallotenue papyrolyticum
Zotu106,0,0,0,0,0,0,0,0,bacteria,gemmatimonadota,gemmatimonadetes,gemmatimonadales,gemmatimonadaceae,roseisolibacter,roseisolibacter agri
Zotu107,4,62,99,272,799,127,7,1,archaea,methanobacteriota,thermoplasmata,methanomassiliicoccales,methanomassiliicoccaceae,methanomassiliicoccus,candidatus methanomassiliicoccus intestinalis
Zotu108,1,0,0,0,1,3,11,86,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum massiliense
Zotu109,0,0,0,0,0,0,0,0,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,geodermatophilus,geodermatophilus chilensis
Zotu110,10,13,6,150,2,4,5,7,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,nitrobacteraceae,bradyrhizobium,bradyrhizobium denitrificans
Zotu111,5,8,47,50,3,30,12,9,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu112,8,3,11,3,7,9,3,10,bacteria,pseudomonadota,gammaproteobacteria,nevskiales,nevskiaceae,stagnimonas,stagnimonas aquatica
Zotu113,5,5,8,3,2,3,7,8,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu114,4,2,2,3,5,7,3,55,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga aerilata
Zotu115,3,12,5,5,3,65,3,5,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu116,2,0,1,0,0,0,2,111,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter galbus
Zotu117,2,2,3,3,5,3,6,34,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia timonae
Zotu118,2,6,2,6,3,2,4,10,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu119,4,5,9,2,14,174,344,54,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,iamia,iamia majanohamensis
Zotu120,2,1,4,2,3,2,4,38,bacteria,pseudomonadota,gammaproteobacteria,pseudomonadales,pseudomonadaceae,pseudomonas,pseudomonas duriflava
Zotu121,1,0,0,2,19,0,13,27,bacteria,pseudomonadota,betaproteobacteria,rhodocyclales,zoogloeaceae,pseudothauera,pseudothauera nasutitermitis
Zotu122,2,2,4,6,0,107,127,34,bacteria,verrucomicrobiota,verrucomicrobiae,limisphaerales,fontisphaeraceae,fontisphaera,fontisphaera persica
Zotu123,354,98,7,135,26,58,4,7,bacteria,chloroflexota,anaerolineae,anaerolineales,anaerolineaceae,thermanaerothrix,thermanaerothrix daxensis
Zotu124,483,380,618,93,45,51,86,11,bacteria,acidobacteriota,blastocatellia,blastocatellales,pyrinomonadaceae,pyrinomonas,pyrinomonas methylaliphatogenes
Zotu125,2,2,4,5,7,5,5,172,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu126,4,17,44,5,0,34,49,65,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter ginsengiterrae
Zotu127,2,3,1,0,8,0,2,99,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,devosiaceae,devosia,devosia submarina
Zotu128,2,7,5,3,168,176,29,9,bacteria,pseudomonadota,gammaproteobacteria,nevskiales,nevskiaceae,panacagrimonas,panacagrimonas perspica
Zotu129,4,8,60,209,31,59,35,4,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu130,3,2,0,1,2,3,30,148,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia niastensis
Zotu131,3,2,4,4,6,6,8,68,bacteria,bacillota,bacilli,bacillales,bacillaceae,domibacillus,domibacillus tundrae
Zotu132,0,0,0,0,1,0,1,31,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu133,4,5,0,4,2,3,5,48,bacteria,pseudomonadota,gammaproteobacteria,nevskiales,sinobacteraceae,solimonas,solimonas soli
Zotu134,4,23,71,46,1,84,39,3,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu135,2,3,2,3,5,0,3,92,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu136,1,0,3,3,1,2,19,133,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia eurypsychrophila
Zotu137,0,2,1,0,1,1,3,53,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,sediminibacterium,sediminibacterium salmoneum
