"","freq","prev","p.freq","p.prev","p","contaminant"
"Zotu3550",3.93494160928364e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu2333",6.15119844799405e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu5838",2.05969090613409e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu5104",2.8790008410815e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu4797",3.33933612258429e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu6082",2.35277913510956e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu3788",3.09345903236671e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu2077",6.32436783491544e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu5160",5.77611970470425e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu2818",5.8907787943844e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu2408",4.26368279158033e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu2712",5.26337607730592e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu4038",2.42986367209204e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu4095",3.55355846125864e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu2629",4.20137028949506e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu3797",2.95114608928505e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu3707",3.22861011293178e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu4506",3.85086647512414e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu3975",3.46952799199054e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu5407",1.68417277114217e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu6294",1.49253183551567e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu4557",4.14086934281273e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu1847",8.58421814630334e-05,19,NA,0.650793650793651,0.650793650793651,FALSE
"Zotu3194",3.76120641091061e-05,4,NA,0.531746031746032,0.531746031746032,FALSE
"Zotu2216",6.32162277708817e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu2780",8.3745752002344e-05,25,NA,0.698412698412698,0.698412698412698,FALSE
"Zotu6396",1.57322655876005e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu5030",6.48461732230446e-05,15,NA,0.119047619047619,0.119047619047619,FALSE
"Zotu5154",4.84657416325402e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu3614",2.95029922152368e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu5693",1.08110452678725e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu5182",6.26441250555691e-05,30,NA,0.738095238095238,0.738095238095238,FALSE
"Zotu5173",2.04866902860508e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu5628",2.25425041226328e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu6366",3.73485286811144e-05,18,NA,0.642857142857143,0.642857142857143,FALSE
"Zotu2654",4.51739856039396e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu3948",2.579390540132e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu4283",3.36742923990359e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu871",0.000164872487226356,42,NA,0.333333333333333,0.333333333333333,FALSE
"Zotu5654",1.9410668563945e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu1547",8.16673568079432e-05,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu5719",2.51205135689396e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu3655",2.4587871189489e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu6307",2.07679369585427e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu4954",3.59593796476956e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu2655",5.08865274080288e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu4675",0.000109998310772314,35,NA,0.777777777777778,0.777777777777778,FALSE
"Zotu716",0.000206043149253113,35,NA,0.277777777777778,0.277777777777778,FALSE
"Zotu6145",1.84848413434016e-05,5,NA,0.53968253968254,0.53968253968254,FALSE
"Zotu1280",0.000118115686071206,26,NA,0.706349206349206,0.706349206349206,FALSE
"Zotu5234",1.18117637137402e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu4951",1.24134827170984e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu5607",1.67515229217781e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu2664",7.15999728657241e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu2239",6.27398148362951e-05,22,NA,0.674603174603175,0.674603174603175,FALSE
