ANATOMY,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu60,4.115584,0.123113,0.02221,0.006148,0.175256,0.0,0.015698,0.00314,archaea,methanobacteriota,thermoplasmata,methanomassiliicoccales,candidatus methanomethylophilaceae,candidatus methanomethylophilus,candidatus methanomethylophilus alvus
Zotu61,0.0,0.00324,0.006346,0.003074,0.0,0.0,0.0,0.00628,bacteria,bacillota,clostridia,eubacteriales,symbiobacteriaceae,symbiobacterium,symbiobacterium terraclitae
Zotu62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides jensenii
Zotu63,0.020043,0.00648,0.031729,0.018445,0.012982,0.00952,0.009419,0.018841,bacteria,actinomycetota,actinomycetes,pseudonocardiales,pseudonocardiaceae,pseudonocardia,pseudonocardia adelaidensis
Zotu64,0.016703,0.00324,0.031729,0.027668,0.016227,0.01904,0.018837,0.021981,bacteria,actinomycetota,actinomycetes,propionibacteriales,nocardioidaceae,nocardioides,nocardioides szechwanensis
Zotu65,0.010022,0.00648,0.009519,0.006148,0.0,0.003173,0.0,0.0,bacteria,planctomycetota,planctomycetia,pirellulales,pirellulaceae,aureliella,aureliella helgolandensis
Zotu66,0.0,0.00324,0.009519,0.006148,0.003245,0.006347,0.006279,0.018841,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu67,0.020043,0.110154,1.129549,1.229672,0.217448,0.076161,0.028256,0.015701,bacteria,actinomycetota,actinomycetia,streptosporangiales,streptosporangiaceae,thermobispora,thermobispora bispora
Zotu68,0.003341,0.00648,0.003173,0.012297,0.0,0.003173,0.009419,0.081645,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,oxalicibacterium,oxalicibacterium horti
Zotu69,0.003341,0.0,0.006346,0.018445,0.003245,0.006347,0.006279,0.285759,bacteria,pseudomonadota,alphaproteobacteria,rhodobacterales,roseobacteraceae,rubellimicrobium,rubellimicrobium rubrum
