ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Lee,Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,nan,nan,nan,nan,nan,nan,nan
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.30A,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu26,7,63,43,3,6,14,20,6,21,20,147,47,6,5,9,2,0,3,15,230,1,190,293,244,101,3,4,2,371,258,190,46,285,336,6,15,39,8,688,64,8,18,6,98,331,107,89,708,8,13,28,6,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,reyranellaceae,reyranella,reyranella massiliensis
Zotu27,21,142,42,12,12,15,18,132,222,75,417,94,10,155,30,14,10,14,16,12,15,4,20,29,253,95,53,87,7,17,20,34,19,48,141,285,91,249,15,380,14,8,12,370,314,215,243,862,163,17,10,18,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu28,19,55,174,9,21,20,14,40,306,18,383,210,7,67,162,10,132,803,11,13,10,7,8,17,17,14,25,19,14,15,7,9,12,11,13,9,11,12,10,7,8,8,10,419,330,252,225,10,132,19,9,13,bacteria,acidobacteriota,blastocatellia,blastocatellales,pyrinomonadaceae,pyrinomonas,pyrinomonas methylaliphatogenes
Zotu29,41,34,73,12,8,43,64,74,34,112,39,12,8,57,21,214,18,15,106,208,16,15,217,50,228,226,122,211,152,286,168,124,348,30,318,274,95,280,10,145,89,81,110,52,90,158,130,18,91,51,81,38,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu30,20,209,800,88,17,15,63,390,78,15,115,259,14,109,279,13,21,211,300,8,31,277,18,74,20,18,113,104,16,8,318,155,94,11,77,117,56,45,8,188,118,15,114,10,9,20,11,16,168,323,136,194,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia varians
Zotu31,17,502,97,8,13,35,38,639,192,45,111,128,10,150,57,20,635,10,22,5,27,5,319,117,8,14,144,100,15,376,10,84,205,4,214,115,161,88,207,142,18,3,7,8,13,85,200,16,53,16,48,63,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum autotrophicum
Zotu32,13,153,118,8,8,22,316,61,324,411,14,12,19,140,77,18,3,11,9,12,8,11,11,13,16,11,12,12,18,26,20,21,19,14,36,17,9,12,28,17,9,10,13,363,185,245,23,7,389,76,65,18,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu33,21,87,248,16,20,19,14,87,1019,13,19,309,16,314,256,10,23,10,519,13,20,8,20,19,29,27,23,23,11,14,17,19,19,14,25,31,14,13,10,13,102,28,316,18,17,19,15,17,200,683,317,1142,bacteria,bacillota,bacilli,bacillales,bacillaceae,domibacillus,domibacillus antri
Zotu34,11,121,74,13,12,10,48,644,73,203,30,60,10,145,65,15,14,254,32,7,14,10,126,41,8,269,67,312,128,7,193,92,354,5,271,136,18,167,11,315,9,6,16,6,18,139,46,11,191,77,37,129,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,noviherbaspirillum,noviherbaspirillum autotrophicum
Zotu35,21,20,17,29,21,21,25,33,10,18,16,17,24,17,19,4069,20,19,19,18,10,10,20,25,30,28,26,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter arboris
Zotu36,15,27,23,9,12,17,11,41,31,15,99,39,929,37,9,8,107,151,19,46,371,376,6,84,73,12,16,24,9,215,21,146,229,268,105,89,153,84,80,110,76,5,33,6,4,169,100,400,99,12,13,45,bacteria,actinomycetota,actinomycetes,propionibacteriales,propionibacteriaceae,cutibacterium,cutibacterium acnes
Zotu37,26,81,234,13,29,38,22,178,294,1112,55,220,10,206,170,22,77,535,19,24,26,5,10,12,14,18,15,16,20,5,4,2,3,6,6,4,1,3,4,6,6,6,5,181,223,413,362,153,111,9,1,1,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu38,15,690,324,19,22,19,29,516,94,16,81,137,15,85,102,16,140,214,24,6,15,6,10,7,15,14,37,60,13,9,10,9,80,11,9,13,13,10,7,68,65,8,16,13,248,309,363,90,468,81,86,124,bacteria,bacillota,bacilli,bacillales,bacillaceae,priestia,priestia koreensis
Zotu39,9,62,20,4,7,22,18,34,4,6,25,71,6,3,11,6,56,207,25,10,5,568,10,9,158,3,22,4,240,88,1,99,77,8,25,41,6,29,923,3,7,4,116,7,26,33,29,2,25,20,7,5,bacteria,pseudomonadota,gammaproteobacteria,oceanospirillales,halomonadaceae,halomonas,halomonas stevensii
Zotu40,3,5,14,4,6,8,43,59,17,11,0,20,1,3,6,7,3,365,18,186,8,9,3,57,267,58,24,8,561,154,258,223,142,10,8,18,11,6,325,88,727,9,63,96,40,2,250,9,9,8,55,86,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,phreatobacteraceae,phreatobacter,phreatobacter stygius
