ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Lee,Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.30A,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu10,0.119423,0.57015,0.276991,0.092267,0.126719,0.140235,1.624878,1.164532,0.675045,5.186401,0.297109,0.279639,0.063838,1.231451,0.285119,0.058878,0.235237,1.308716,0.144886,0.05496,1.202582,0.078437,1.696447,0.809766,0.609909,0.904772,0.322481,0.844065,0.625699,0.04509,0.048776,0.749087,0.712372,0.057609,1.819632,0.590655,0.446838,1.645333,0.060681,2.179743,0.318053,0.069404,0.054753,0.036398,0.563553,0.894503,0.078898,0.672198,0.735741,0.483645,0.199032,0.304316,0.033406,0.035638,0.038075,0.030742,0.032455,0.044428,0.047093,0.172712,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu11,0.061243,0.085829,0.220334,0.047842,0.156535,0.05921,0.045643,0.2109,0.074659,0.030964,0.070448,0.107553,0.039518,0.110831,0.086497,0.061977,0.128311,0.043009,0.034647,1.880859,0.925531,0.110525,0.253111,0.181291,2.414523,1.809544,0.750388,0.521334,1.323943,1.481949,0.695058,0.782857,1.205553,1.603954,1.423793,0.695797,0.869193,2.179452,0.270032,1.665211,0.379216,0.07326,0.069962,0.530802,0.805513,0.537911,0.172968,0.429964,0.48644,0.070001,0.064303,0.05533,0.106898,0.061556,0.26335,0.092225,0.162274,0.828256,0.213487,0.122468,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu12,0.045932,1.554118,0.919106,0.082015,0.078268,0.046745,0.733325,2.649998,0.737261,2.065271,0.202156,0.32266,0.179353,0.886645,0.887394,0.096064,0.320777,0.07373,0.141737,0.051907,0.082202,0.067741,1.612077,0.284022,0.972267,1.848882,0.251163,0.499612,0.90681,0.087173,0.484712,0.491204,0.608865,0.045481,1.745988,0.633949,0.391749,1.384412,0.130465,2.525882,1.211046,0.050125,0.836502,0.051564,0.627871,0.087637,0.309522,1.386786,0.270583,0.785923,0.257211,0.651666,0.030065,0.012959,0.038075,0.021519,0.009736,0.038081,0.040814,0.684566,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter ginsengiterrae
Zotu13,0.094926,0.275879,0.75543,0.123022,0.078268,0.056094,3.590555,0.819146,1.508741,6.793411,0.052071,1.404339,0.158074,0.621883,0.672753,0.077471,0.458253,0.070658,0.157485,0.079387,0.12178,0.153309,0.090397,0.371646,0.114806,0.111962,0.130233,0.13654,0.126953,0.069138,0.06097,0.110521,0.048709,0.042449,0.073644,0.040202,0.039787,0.027627,0.048545,0.062367,0.021407,0.04627,0.048669,0.330614,2.143951,3.03708,1.82072,0.069642,1.286027,0.439099,0.551167,0.663962,0.026725,0.029158,0.025383,0.03689,0.045437,0.050774,0.053372,0.920082,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu14,0.208225,0.193115,0.11961,0.170864,0.111811,23.624918,0.091285,0.174221,0.121321,1.929031,0.156212,0.144429,0.079037,0.193954,0.134551,0.867679,0.180246,0.162821,0.166934,0.12824,0.164404,0.153309,0.144635,0.163162,0.17221,0.223924,0.220155,0.183088,0.142067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu15,18.081881,0.312663,0.37142,0.095684,0.134173,0.445636,0.495983,0.122261,0.105767,0.241516,0.186841,0.304222,0.063838,0.280155,0.352395,2.479083,0.308557,1.517619,0.588995,0.085494,0.234427,0.096264,0.081357,0.087624,0.226025,0.12104,0.096124,0.1955,0.117885,0.006012,0.012194,0.00614,0.009133,0.012128,0.012274,0.01237,0.021424,0.006139,0.006068,0.009355,0.006116,0.015423,1.405323,0.012133,0.02144,0.024176,0.003035,0.009084,0.106409,0.190913,0.064303,0.089143,0.0,0.012959,0.006346,0.012297,0.016227,0.006347,0.012558,0.075365,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter parietis
Zotu16,0.064305,0.113417,0.220334,0.146943,0.078268,0.345913,0.28907,0.828316,0.195981,0.210552,0.052071,0.568496,0.054718,1.03134,0.7144,0.969941,0.219962,0.046082,1.322876,0.940429,0.051757,0.042784,1.226384,0.32028,0.035877,0.042364,0.55814,1.874321,0.163226,0.054108,0.045728,0.512695,0.054798,0.048513,0.046028,0.068034,0.05815,0.046045,0.033375,0.458401,0.737026,0.088683,0.723954,0.021232,0.882083,0.350548,0.027311,0.033307,0.033443,1.715031,1.041093,0.802287,0.043427,0.035638,0.041248,0.024593,0.038946,0.044428,0.26372,2.731983,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,methylobacteriaceae,microvirga,microvirga roseola
Zotu17,0.027559,0.067437,0.239219,0.044425,0.074541,0.040512,0.036514,0.171165,0.118211,0.024771,0.19603,0.215107,0.057758,0.227818,0.092904,0.046483,0.039715,0.036865,0.025198,0.454948,0.051757,0.021392,0.027119,0.03928,1.130126,3.377009,1.658915,1.743988,0.876583,1.74347,0.051825,0.957849,0.459693,0.03032,1.445273,1.462721,0.278509,1.467293,0.206317,0.99788,0.59329,0.07326,0.057795,0.05763,0.049005,0.039286,0.039449,0.05753,0.088167,0.318188,0.199032,0.205951,0.076833,0.038878,0.168163,0.058409,0.068155,0.038081,0.383021,0.094206,bacteria,chloroflexota,chloroflexia,kallotenuales,kallotenuaceae,kallotenue,kallotenue papyrolyticum
Zotu18,0.192914,0.573215,0.472144,0.105936,0.149081,0.09349,0.0852,0.467647,0.379518,0.517092,0.189904,0.381046,0.030399,0.554153,0.772065,0.083669,0.094706,0.067586,1.937069,0.815242,0.697193,1.565174,0.054238,0.353517,0.459226,0.190638,0.710078,2.187742,0.849379,1.067124,1.783373,0.764437,0.054798,0.048513,0.641321,1.833813,0.05815,0.748995,0.021239,0.570662,1.804337,0.088683,0.127757,0.042464,0.030628,0.033242,0.045518,0.030279,0.015201,0.464554,0.174536,0.381163,0.053449,0.032398,0.047593,0.027668,0.048682,0.041254,0.034535,0.069085,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter halodurans
Zotu19,0.033683,0.165527,0.431224,0.034173,0.06336,0.052978,0.027386,0.758016,0.46351,0.027867,0.0827,0.29193,0.024319,0.304784,0.227455,0.015494,0.565179,0.611348,0.066144,0.177094,0.021312,0.085568,0.024106,0.277979,0.355182,0.77768,0.548837,0.316524,0.930992,0.255508,0.506051,0.368403,0.298344,0.576089,0.429593,0.235025,0.422354,0.211806,0.033375,0.031184,0.082571,0.050125,0.042586,1.137432,3.427259,2.064005,0.937671,1.498819,0.826949,0.066819,0.076551,0.067626,0.080174,0.077755,0.231621,0.193673,0.454368,1.627951,0.844531,0.106767,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu20,0.091864,0.09196,0.550834,0.058094,0.096903,0.043629,0.045643,0.241465,0.482175,0.030964,0.098015,0.439432,0.015199,0.153931,0.496556,0.034087,2.398191,0.070658,0.047246,0.277854,0.06089,0.042784,0.0,0.021151,0.954329,1.749024,0.062016,0.297905,0.350633,0.330658,0.612749,0.960919,1.184243,0.394166,0.438798,0.324705,0.195874,0.868711,0.288237,0.795185,0.324169,0.131097,0.228137,0.11526,1.271057,0.241758,0.834497,2.818991,1.623495,0.547283,1.677996,1.106603,0.066811,0.048597,0.079322,0.039964,0.051928,0.107895,0.078488,0.119328,bacteria,actinomycetota,actinomycetes,kitasatosporales,streptomycetaceae,streptomyces,streptomyces baliensis
Zotu21,0.039808,1.431505,0.151086,0.129857,0.208714,0.077908,0.082157,0.449308,0.264419,0.043349,0.808625,0.264274,0.036479,0.280155,0.144161,0.058878,0.375768,0.064514,0.050395,0.05496,0.048712,0.691671,0.888902,0.057409,0.868224,0.623355,0.142636,0.676493,1.036786,0.309616,0.152425,0.353053,0.292255,0.351718,0.386634,0.701982,0.91204,0.617,0.027307,1.022826,0.443439,0.069404,0.091255,0.424641,0.039816,0.166208,0.4218,0.484467,0.380032,0.085911,0.162288,0.141399,1.005512,0.317501,0.193546,0.522611,0.10061,0.041254,0.113023,0.188413,bacteria,bacillota,bacilli,bacillales,paenibacillaceae,ammoniphilus,ammoniphilus oxalaticus
Zotu22,0.003062,0.009196,0.01259,0.013669,0.026089,0.012465,0.012171,0.033622,0.009332,0.012385,0.012252,0.033802,0.021279,0.015393,0.041647,0.012395,0.027495,0.009216,0.022048,0.006107,0.009134,1.365516,0.015066,0.033237,0.979442,0.338911,1.764341,0.217223,0.719403,0.048096,0.359723,0.267092,0.389674,0.715564,0.874528,1.552401,4.266389,2.10578,0.084954,0.885618,0.051989,0.07326,0.085171,0.036398,0.042879,0.036264,0.048553,0.05753,0.057765,0.066819,0.061241,0.0707,0.063471,0.055077,0.025383,0.039964,0.055173,0.041254,0.040814,0.056524,bacteria,pseudomonadota,gammaproteobacteria,nevskiales,nevskiaceae,panacagrimonas,panacagrimonas perspica
Zotu23,0.021435,0.04598,0.037771,0.023921,0.026089,0.028047,0.057814,0.033622,0.018665,0.037156,0.027567,0.027657,0.063838,0.036944,0.032036,0.030989,0.021385,0.012288,0.085042,0.033587,0.048712,2.492156,3.977461,0.036258,0.021526,1.455503,0.902326,1.374709,0.752652,0.039078,0.530439,0.690756,0.042621,0.027288,1.819632,0.726722,0.042848,2.836357,0.048545,0.180866,0.045873,0.026991,0.027376,0.027298,0.009188,0.03022,0.048553,0.051475,0.021282,0.044546,0.024496,0.043035,0.033406,0.009719,0.034902,0.012297,0.012982,0.022214,0.021977,0.040823,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,segetibacter,segetibacter aerophilus
Zotu24,0.055118,0.064372,0.125905,0.013669,0.029816,0.177631,0.088242,0.158939,0.024886,0.089794,0.33999,0.178231,0.015199,0.113909,0.041647,0.040285,0.04888,0.064514,0.069294,0.00916,0.751994,0.014261,0.400759,0.129925,1.661106,0.320755,0.179845,0.074476,0.640813,0.33667,0.042679,0.138151,0.082197,1.200691,0.35288,0.231932,0.651894,0.343801,1.152948,0.196458,0.642221,0.038558,0.538403,0.430708,0.049005,0.831042,0.467318,0.078726,0.079047,0.085911,0.146978,0.270503,0.036746,0.019439,0.174509,1.724615,0.314812,0.038081,0.26058,0.182132,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,burkholderiaceae,ralstonia,ralstonia syzygii
Zotu25,0.076553,0.202311,0.365124,0.030756,0.074541,0.071676,0.030428,0.617416,0.96435,0.080505,1.510047,0.18745,0.027359,0.62804,0.262694,0.037186,0.604894,1.511474,0.015749,0.030533,0.045668,0.014261,0.027119,0.021151,0.541743,0.472055,0.04031,0.034135,0.030227,0.054108,0.033534,0.260952,0.045665,0.066705,0.015343,0.064941,0.097937,0.150413,0.006068,0.411625,0.302762,0.050125,0.036502,1.149565,0.719755,0.631592,0.540147,1.014352,0.714459,0.044546,0.048993,0.027665,0.026725,0.463293,3.268078,0.227489,0.029209,0.085682,0.116162,0.021981,bacteria,actinomycetota,nitriliruptoria,egibacterales,egibacteraceae,egibacter,egibacter rhizosphaerae
