"","freq","prev","p.freq","p.prev","p","contaminant"
"Zotu3980",2.0913094844758e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu1584",8.04853902396464e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu5123",2.81107222604128e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu1167",0.000116094965023375,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu5465",1.10138449184671e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu2319",4.47373029365207e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu3431",3.05333043181766e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu2194",0.000103021618427646,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu1770",6.00982005136205e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu1897",7.9118895760806e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu3642",3.54815024501617e-05,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu5509",1.86879233770134e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu5541",1.70921623742266e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu4494",3.41163501912066e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu6021",9.88614534425132e-06,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu2278",6.463522305007e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu5793",1.23419228588952e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu2700",3.22285181401766e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu3218",3.77560291265966e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu4119",1.84736860095759e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu3126",3.95608057439976e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu5621",1.80885967611295e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu2013",7.64822377580743e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu6186",1.18303616417434e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu1977",5.78368705970352e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu2901",2.79783458417462e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu4180",3.30739574182425e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu2512",4.47409717816248e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu6191",1.55543481250532e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu3105",2.70268318075077e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu1921",6.92093241106711e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu3807",2.61155665303743e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu2744",5.75684789988238e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu2489",3.28098322512949e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu5040",2.71387794647218e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu5415",2.58844689329894e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu2993",3.47761133971412e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu3000",2.95238926087415e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu4412",1.61976542221802e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu1058",0.000105312298258988,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu1659",6.4843542172742e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu1306",7.86086649802967e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu3065",4.6184001559805e-05,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu2121",6.34537619179821e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu3319",2.48394405156748e-05,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu4183",3.79126139532574e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu3625",3.42720135825192e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu6385",1.33761188762659e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu4524",1.88100051480459e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu5447",1.54815254655032e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu2996",3.81544632580253e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
