"","MESQUITE.FLATS.SAND.MF.4B","MESQUITE.FLATS.SAND.MF.5B","MESQUITE.FLATS.SAND.MF.6B","MESQUITE.FLATS.SAND.MF.7B","MESQUITE.FLATS.SAND.MF.8B","MESQUITE.FLATS.SAND.MF.11A","MESQUITE.FLATS.SAND.MF.12A","MESQUITE.FLATS.SAND.MF.13A","MESQUITE.FLATS.SAND.MF.14B","MESQUITE.FLATS.SAND.MF.15A","MESQUITE.FLATS.SAND.MF.16A","MESQUITE.FLATS.SAND.MF.17A","MESQUITE.FLATS.SAND.MF.18B","MESQUITE.FLATS.SAND.MF.19A","MESQUITE.FLATS.SAND.MF.20A","MESQUITE.FLATS.SAND.MF.27B","MESQUITE.FLATS.SAND.MF.28A","MESQUITE.FLATS.SAND.MF.30A","MESQUITE.FLATS.SAND.MF.31B","MESQUITE.FLATS.SAND.MF.33A","EUREKA.SAND.ED.01A","EUREKA.SAND.ED.02B","EUREKA.SAND.ED.03A","EUREKA.SAND.ED.04A","EUREKA.SAND.ED.05A","EUREKA.SAND.ED.06A","EUREKA.SAND.ED.08A","EUREKA.SAND.ED.09A","EUREKA.SAND.ED.10A","EUREKA.SAND.ED.11A","EUREKA.SAND.ED.12A","EUREKA.SAND.ED.13A","EUREKA.SAND.ED.14B","EUREKA.SAND.ED.15B","EUREKA.SAND.ED.16A","EUREKA.SAND.ED.17B","EUREKA.SAND.ED.18A","EUREKA.SAND.ED.19A","EUREKA.SAND.ED.20A","EUREKA.SAND.ED.21A","EUREKA.SAND.ED.22A","EUREKA.SAND.ED.23A","EUREKA.SAND.ED.24A","EUREKA.SAND.ED.33A","IBEX.SAND.IX.1B","IBEX.SAND.IX.2A","IBEX.SAND.IX.3A","IBEX.SAND.IX.4B","IBEX.SAND.IX.5A","IBEX.SAND.IX.6A","IBEX.SAND.IX.7A","IBEX.SAND.IX.8A","IBEX.SAND.IX.9A","IBEX.SAND.IX.10A","IBEX.SAND.IX.10CM.A","IBEX.SAND.IX.2OCM.B","IBEX.SAND.IX.3OCM.A","IBEX.SAND.IX.40CM.A","IBEX.SAND.IX.50CM.A","IBEX.SAND.IX.60CM.A","IBEX.SAND.IX.70CM.A","IBEX.SAND.IX.80CM.A"
"Zotu1540",0,0,0,1,0,0,3,1,12,3,1,2,1,0,2,3,1,0,1,1,24,0,0,0,0,1,0,1,9,0,1,0,0,0,1,0,1,1,1,0,0,1,1,2,187,1,1,0,0,0,6,29,2,0,0,1,1,2,0,0,0,4
"Zotu6162",0,0,0,4,11,0,0,0,0,1,0,0,0,0,2,1,1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu5235",0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0
"Zotu2443",0,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,4,1,0,0,0,0,2,0,2,0,0,5,0,11,77,0,0,4,0
"Zotu1786",0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,2,1,0,0,0,1,0,2,0,0,0,0,3,0,0,0,1,0,5,56,14,58,3,0,1,1
"Zotu1172",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,2,2,1,1,0,2,1,0,0,0,0,0,0,1,1,1,2,16,79,47,55,1,4,2,1
"Zotu1692",0,0,0,6,18,0,0,2,0,0,2,1,0,0,1,0,1,0,0,1,3,1,2,137,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"Zotu993",0,0,0,1,1,0,0,1,1,0,0,0,0,1,3,0,12,0,0,0,16,1,0,0,0,0,0,0,1,0,2,2,0,1,1,2,0,2,1,1,1,1,1,0,0,0,1,0,1,2,0,6,55,121,1,1,1,0,1,1,0,0
"Zotu819",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,0,0,0,1,142,0,0,38,0,0,64,0,1,0,6,0,0,0,0,0,1,1,1,0,2,3,1,0,0,1,0,1,0
"Zotu6221",0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"Zotu3965",0,0,0,3,44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1097",0,0,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,1,0,0,0,0,1,1,0,2,1,1,1,0,1,2,0,1,183,7,2,0,3,1,0,1,3,0,0,0,3,101,8,0,1,11,16,1
"Zotu4995",0,0,0,1,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,15,9,3
"Zotu5162",0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu2730",0,0,0,10,10,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,0,1,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,5,16,5,0,0,0,1,0,2,0,2
