"","MESQUITE.FLATS.SAND.MF.4B","MESQUITE.FLATS.SAND.MF.5B","MESQUITE.FLATS.SAND.MF.6B","MESQUITE.FLATS.SAND.MF.7B","MESQUITE.FLATS.SAND.MF.8B","MESQUITE.FLATS.SAND.MF.11A","MESQUITE.FLATS.SAND.MF.12A","MESQUITE.FLATS.SAND.MF.13A","MESQUITE.FLATS.SAND.MF.14B","MESQUITE.FLATS.SAND.MF.15A","MESQUITE.FLATS.SAND.MF.16A","MESQUITE.FLATS.SAND.MF.17A","MESQUITE.FLATS.SAND.MF.18B","MESQUITE.FLATS.SAND.MF.19A","MESQUITE.FLATS.SAND.MF.20A","MESQUITE.FLATS.SAND.MF.27B","MESQUITE.FLATS.SAND.MF.28A","MESQUITE.FLATS.SAND.MF.30A","MESQUITE.FLATS.SAND.MF.31B","MESQUITE.FLATS.SAND.MF.33A","EUREKA.SAND.ED.01A","EUREKA.SAND.ED.02B","EUREKA.SAND.ED.03A","EUREKA.SAND.ED.04A","EUREKA.SAND.ED.05A","EUREKA.SAND.ED.06A","EUREKA.SAND.ED.08A","EUREKA.SAND.ED.09A","EUREKA.SAND.ED.10A","EUREKA.SAND.ED.11A","EUREKA.SAND.ED.12A","EUREKA.SAND.ED.13A","EUREKA.SAND.ED.14B","EUREKA.SAND.ED.15B","EUREKA.SAND.ED.16A","EUREKA.SAND.ED.17B","EUREKA.SAND.ED.18A","EUREKA.SAND.ED.19A","EUREKA.SAND.ED.20A","EUREKA.SAND.ED.21A","EUREKA.SAND.ED.22A","EUREKA.SAND.ED.23A","EUREKA.SAND.ED.24A","EUREKA.SAND.ED.33A","IBEX.SAND.IX.1B","IBEX.SAND.IX.2A","IBEX.SAND.IX.3A","IBEX.SAND.IX.4B","IBEX.SAND.IX.5A","IBEX.SAND.IX.6A","IBEX.SAND.IX.7A","IBEX.SAND.IX.8A","IBEX.SAND.IX.9A","IBEX.SAND.IX.10A","IBEX.SAND.IX.10CM.A","IBEX.SAND.IX.2OCM.B","IBEX.SAND.IX.3OCM.A","IBEX.SAND.IX.40CM.A","IBEX.SAND.IX.50CM.A","IBEX.SAND.IX.60CM.A","IBEX.SAND.IX.70CM.A","IBEX.SAND.IX.80CM.A"
"Zotu71",7,97,61,48,36,8,114,160,55,57,30,100,10,336,201,9,30,162,11,326,44,8,561,7,15,16,7,6,6,15,7,4,4,97,4,3,6,7,5,2,5,20,2,4,6,3,3,6,1,4,4,59,86,112,0,0,3,3,1,36,76,187
"Zotu960",6,0,13,1,2,1,2,2,0,2,1,2,0,0,5,2,5,7,0,256,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Zotu1099",5,58,6,1,6,0,0,16,8,1,0,16,0,21,22,4,2,1,0,0,0,0,2,3,0,1,0,2,0,1,2,1,0,0,63,0,0,0,2,0,1,1,0,1,0,0,1,1,0,1,0,10,1,1,22,3,0,1,3,0,0,0
"Zotu1401",1,0,26,2,4,0,0,0,0,1,1,0,0,1,12,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,2,2,0,2,0,2,0,0,0,0,0,12,0,0,1,0,0,1,0,6,0,1,28,48,1,1,28,0,0,2
"Zotu76",8,8,8,5,7,4,11,7,6,2,6,7,5,7,4,4,5,3,5,15,7,1,5,6,8,58,4,392,192,207,349,153,9,191,86,13,52,164,503,278,229,87,19,5,8,6,9,5,7,6,7,13,8,5,11,10,9,6,12,12,11,12
"Zotu826",2,2,0,25,0,54,0,0,0,0,0,0,0,1,15,0,47,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,23,117,0,0,0,0,0,2,0,0,0
"Zotu754",5,2,2,176,162,2,0,3,1,1,3,4,4,4,9,2,5,5,2,2,2,1,2,4,2,5,2,7,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu4854",2,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu503",3,4,18,1,1,0,240,0,2,2,3,1,7,7,1,48,1,0,1,2,4,1,2,0,2,1,1,0,4,21,0,1,0,3,0,1,26,1,0,2,1,0,115,2,1,0,0,3,0,1,3,17,53,0,1,2,0,4,2,0,1,9
"Zotu334",4,18,5,4,3,3,4,48,40,29,17,25,1,54,13,4,6,21,20,1,2,3,37,2,151,38,18,21,49,24,6,1,2,3,4,2,125,37,20,74,3,18,0,3,1,0,4,18,1,2,5,4,10,5,6,4,7,13,22,19,14,8
"Zotu901",2,4,6,2,3,1,3,4,2,3,2,4,1,1,0,0,12,2,0,5,20,2,346,2,2,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu419",4,7,15,2,2,3,1,32,56,46,102,1,1,77,5,4,1,121,60,1,1,1,2,0,2,7,5,3,5,4,3,1,2,0,1,1,0,1,0,2,4,1,0,0,4,1,3,100,45,0,78,0,4,1,1,2,0,2,1,2,0,0
"Zotu309",5,44,1,1,2,5,6,78,34,3,2,30,5,6,124,8,1,3,2,2,282,8,3,1,1,2,3,1,1,6,3,2,1,0,5,1,1,0,2,0,0,0,1,2,149,2,2,0,1,2,0,134,27,30,1,0,1,1,0,1,4,2
"Zotu3769",2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu430",4,3,34,5,1,3,8,6,107,2,110,4,3,2,53,0,2,1,187,3,0,2,1,2,3,3,4,2,15,1,3,2,1,0,1,1,45,27,1,0,1,82,0,0,2,0,1,1,0,1,2,1,3,0,0,0,0,1,1,0,0,0
"Zotu2072",1,1,4,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,1
"Zotu763",5,8,12,1,1,2,31,16,10,22,6,19,3,14,5,3,0,3,1,4,0,0,125,0,0,1,4,25,17,6,3,1,1,1,0,0,8,9,0,0,0,0,1,0,2,0,24,2,0,0,25,6,2,0,2,0,5,0,8,4,28,18
"Zotu2385",1,0,0,46,32,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Zotu154",1,29,14,2,11,2,1,3,62,4,49,37,4,64,41,4,7,73,30,0,4,173,8,4,0,4,2,4,33,9,0,5,7,4,4,5,4,6,3,3,2,3,1,5,12,45,175,214,151,64,93,12,7,14,11,19,12,38,47,124,28,2
"Zotu2213",2,1,6,11,6,0,0,1,0,1,0,0,0,0,6,2,10,0,1,0,13,28,1,0,0,0,0,0,28,21,0,0,0,1,0,1,0,0,0,22,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,5
"Zotu1863",1,1,0,2,0,0,0,0,2,6,0,0,0,0,5,0,2,44,13,0,11,0,0,2,0,0,1,2,0,5,0,1,0,1,1,0,0,1,0,3,0,24,0,0,0,0,1,2,1,0,0,11,1,29,0,1,0,0,0,1,1,0
"Zotu744",2,19,9,0,0,1,2,1,18,0,1,2,0,14,8,0,14,1,1,0,2,0,2,1,0,0,0,4,0,0,0,7,0,0,3,1,1,4,1,7,2,1,58,0,44,4,48,0,3,2,17,31,51,38,0,0,0,1,2,2,5,22
"Zotu701",3,0,1,1,2,0,0,1,0,2,0,6,1,0,0,1,12,2,0,302,0,3,0,0,1,1,0,0,3,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"Zotu770",4,4,4,4,1,3,1,3,2,3,3,2,597,1,5,3,5,4,1,4,1,3,3,1,6,3,7,2,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu202",4,229,48,32,25,2,2,59,30,3,70,31,9,13,28,3,5,40,40,2,3,1,1,5,3,5,4,6,11,3,3,5,4,7,2,3,12,3,6,7,5,6,7,4,103,1,23,4,57,1,69,31,40,17,166,63,22,3,3,17,15,16
"Zotu670",1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,4,1,2,4,1,6,4,2,3,4,1,3,2,5,2,3,4,3,31,211,106,0,2,2,1,4,5
"Zotu3784",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,39
"Zotu251",2,2,2,3,4,1,3,3,1,0,1,1,1,0,1,2,2,0,0,2,2,260,1,0,3,5,4,77,14,8,115,2,3,16,3,7,98,213,52,127,4,22,4,2,4,5,6,4,3,6,6,8,5,1,1,0,1,1,2,3,1,3
"Zotu377",1,117,26,1,1,2,57,50,36,15,3,1,1,15,10,3,3,4,1,4,0,0,2,3,0,0,2,2,0,2,1,1,1,2,1,2,2,4,1,2,1,2,3,2,2,0,3,154,0,251,0,17,1,22,0,1,1,2,0,3,1,2
"Zotu540",9,6,29,4,3,8,3,17,78,3,6,3,1,134,12,1,6,85,1,208,3,2,4,0,4,4,3,5,2,6,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,36,0,0,0,0
"Zotu3270",1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,1,0,0,0,0,0
"Zotu3904",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu4935",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,0,0,0,0,0
"Zotu4001",1,0,0,0,0,0,31,1,0,0,0,0,1,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu3111",1,0,1,1,1,0,1,1,0,1,0,0,1,1,3,1,0,0,94,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu836",2,2,1,169,115,1,2,3,1,4,1,2,2,2,6,2,5,4,1,0,0,2,2,2,1,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1391",3,4,5,3,0,0,0,1,0,1,14,1,2,19,0,0,1,1,0,0,1,73,1,0,0,0,3,40,0,1,1,0,0,0,0,0,10,1,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
"Zotu328",6,10,38,9,4,3,6,6,10,14,6,17,2,22,39,1,19,2,0,3,98,5,4,179,2,42,0,77,9,44,20,80,3,31,1,1,20,14,5,37,1,1,2,4,33,3,4,0,1,2,2,15,16,4,0,1,2,2,0,1,2,28
"Zotu734",5,7,3,20,349,3,0,5,1,3,3,6,3,5,1,2,14,3,3,1,7,3,3,3,2,3,8,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu290",3,5,21,8,19,1,1,5,25,4,32,30,1,2,13,4,7,3,173,1,0,5,0,0,0,0,0,3,2,1,0,6,1,2,5,10,2,2,5,37,2,3,2,8,6,156,3,2,3,2,3,3,4,3,55,98,57,228,113,112,3,4
"Zotu472",1,3,1,0,2,2,1,0,1,0,1,1,2,0,0,0,1,1,0,2,0,1,1,0,2,0,0,138,55,33,0,0,219,0,1,0,94,0,0,9,2,2,0,0,1,0,3,1,0,2,3,3,1,2,5,0,2,0,3,1,2,0
"Zotu6107",2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,15,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0
"Zotu72",7,5,16,11,19,7,5,10,9,8,7,8,1,6,4,6,8,65,3,7,13,229,116,8,3,64,55,433,97,64,49,7,50,101,306,42,271,93,98,214,10,344,159,17,8,12,12,11,12,10,11,14,6,4,11,10,16,12,7,165,25,17
"Zotu127",4,22,66,13,6,10,81,89,114,2,84,89,7,20,184,5,189,7,4,7,205,4,9,3,9,9,4,8,42,93,4,2,7,3,2,2,4,7,5,3,4,81,2,5,79,6,3,2,145,4,2,125,1,96,2,3,1,0,8,0,2,99
"Zotu984",2,16,44,0,3,0,9,1,4,1,12,10,0,1,0,2,4,3,1,0,101,3,0,0,5,18,4,1,6,8,4,1,2,1,0,0,22,0,1,0,4,4,1,0,19,1,0,0,0,0,2,11,0,24,0,0,0,0,0,1,1,36
"Zotu261",3,1,10,5,5,1,8,1,0,16,0,1,0,0,2,46,3,1,0,1,4,1,0,0,0,14,0,86,24,59,40,3,3,135,337,126,77,80,63,119,4,24,52,32,2,2,8,4,2,5,6,3,3,4,3,0,3,3,2,5,2,5
"Zotu3081",1,1,1,0,0,0,1,2,0,0,0,2,0,17,3,0,0,0,27,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Zotu163",2,5,3,7,5,2,4,1,2,5,5,5,3,73,4,3,11,3,1,2,55,3,3,4,3,83,2,0,428,71,3,241,3,84,2,1,27,143,56,88,3,66,1,2,1,1,6,1,3,1,3,19,6,1,0,6,4,7,0,1,10,6
"Zotu1114",1,0,8,43,58,2,0,1,0,4,0,1,1,0,1,1,38,1,0,0,0,1,0,0,2,1,3,3,5,6,0,0,0,0,1,0,0,1,0,0,0,3,2,31,0,0,2,0,1,0,0,1,0,1,1,76,0,0,9,2,0,0
"Zotu599",4,0,0,9,3,0,2,2,0,3,1,2,4,2,1,1,2,3,0,0,5,1,456,4,1,1,9,0,3,0,7,4,0,1,1,1,0,0,1,1,1,0,0,3,1,0,0,0,46,0,5,0,0,0,0,0,0,0,0,0,1,0
"Zotu406",1,6,2,0,3,1,2,4,1,1,1,0,4,0,41,0,260,0,3,1,15,0,5,0,3,1,1,0,38,0,244,0,1,0,0,0,1,0,0,0,1,0,1,0,126,0,0,0,2,0,0,35,35,18,0,2,2,1,2,2,0,0
"Zotu1046",1,2,0,2,0,0,0,1,1,1,2,0,0,1,0,0,2,0,0,2,16,1,1,5,1,0,1,1,1,10,169,0,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
"Zotu2783",2,0,17,1,0,0,10,1,0,1,0,0,0,8,11,0,1,38,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"Zotu1304",3,3,5,17,90,0,1,11,1,0,3,2,0,1,8,2,9,0,0,0,0,2,4,0,0,0,1,1,1,2,2,0,0,0,1,0,0,0,0,3,1,1,0,4,1,0,1,1,0,1,0,0,4,0,0,0,0,0,19,13,1,7
"Zotu63",2,17,19,0,1,6,27,4,21,1,5,15,4,11,34,2,4,125,3,2,3,2,1,160,7,3,0,25,3,7,534,420,151,280,6,980,97,185,9,98,5,5,7,5,7,5,8,7,14,2,3,8,3,20,6,2,10,6,4,3,3,6
"Zotu4631",1,0,8,0,0,1,0,0,12,0,1,0,0,0,12,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1300",1,1,1,1,1,2,1,2,0,3,0,3,5,1,0,1,2,3,1,1,4,0,218,1,0,8,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu6161",4,5,7,0,8,26,0,0,0,0,0,0,0,5,2,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1165",1,1,9,11,5,8,27,0,1,2,2,0,2,2,4,1,31,0,1,0,8,0,1,48,1,1,0,3,0,4,1,0,1,1,0,1,0,1,1,0,2,1,0,0,1,0,0,3,1,0,1,0,1,0,1,0,0,0,4,7,27,14
"Zotu5332",3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu3392",2,2,1,4,0,0,38,4,2,5,0,3,2,1,10,0,6,1,4,2,1,0,3,0,2,1,0,1,2,1,0,1,2,4,1,1,6,2,0,2,0,1,0,0,3,4,6,2,5,0,3,0,3,6,0,0,3,1,0,20,1,10
"Zotu468",3,7,2,1,3,1,3,6,1,0,2,2,707,3,4,3,1,1,0,0,1,1,2,0,1,3,1,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu4792",5,0,16,6,8,0,17,0,3,0,0,15,3,0,0,0,6,1,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,6,1,1,1,0,0,0,7
"Zotu3248",1,0,1,0,0,0,0,0,0,0,0,56,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu2178",1,29,7,0,0,0,1,0,0,17,1,36,0,23,3,0,1,2,0,0,7,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"Zotu3559",1,0,0,2,7,0,0,0,0,7,0,0,0,1,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,0,1,0,0,0,0,1,3,1,0,13,24,0,0,2,1,0,0
"Zotu4545",2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0
"Zotu319",1,6,7,5,1,890,3,1,3,5,5,6,6,3,2,5,5,2,2,5,12,7,8,2,2,13,8,4,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu2653",3,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,0,1,51,3,11,0,0
"Zotu856",6,71,21,3,4,0,2,31,7,1,2,27,2,4,20,0,3,2,17,5,7,3,1,0,0,3,5,4,1,4,0,1,2,2,0,4,1,5,3,4,3,13,61,5,31,1,1,3,1,2,6,5,0,42,52,0,5,0,4,1,0,10
"Zotu1520",1,3,9,0,3,1,1,0,4,2,3,1,1,2,0,153,0,2,0,0,1,0,0,0,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Zotu396",2,1,5,3,2,0,4,1,12,18,54,4,1,9,7,3,4,8,42,199,0,3,68,0,0,0,1,33,17,0,1,3,1,4,0,6,25,27,2,15,0,21,3,2,3,4,9,0,2,3,30,2,18,3,23,13,61,79,14,56,3,2
"Zotu275",3,27,5,4,3,1,79,7,106,3,0,3,6,59,3,3,4,0,2,5,18,2,4,9,0,1,3,2,99,0,4,4,5,1,0,3,3,3,3,1,6,96,2,0,2,3,3,6,0,4,272,33,3,41,2,3,0,0,2,1,1,112
"Zotu247",6,3,6,2,7,3,4,5,4,3,3,12,2,3,1,1,5,8,2,7,5,6,120,1,2,5,383,102,15,24,2,1,3,235,205,3,37,3,10,2,1,8,3,2,2,4,1,4,1,1,0,1,2,4,2,1,5,6,0,8,2,5
"Zotu6226",1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
"Zotu339",6,4,3,17,41,556,116,8,5,10,5,8,6,9,4,8,15,5,3,4,8,4,4,1,4,6,3,3,2,8,2,0,0,3,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,5
"Zotu765",1,0,2,169,19,0,1,0,18,3,0,27,0,47,6,1,103,2,1,0,1,0,2,1,0,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,58,1,91,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Zotu2795",1,0,0,0,7,1,0,0,2,0,0,0,0,1,0,1,3,0,3,0,15,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,3,0,1,1,0,1,0,1,1,0,0,0,1,0,0,32,17,37,5,4
"Zotu5740",1,0,1,0,34,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu448",5,49,5,6,0,4,187,10,0,2,4,5,5,11,35,2,37,4,1,2,90,4,5,4,3,2,6,7,1,39,5,4,2,76,3,1,24,0,6,2,1,6,4,3,3,1,2,1,2,4,4,100,75,70,1,0,1,4,2,3,2,30
"Zotu360",2,2,40,4,6,0,7,62,1,39,1,41,1,32,22,7,6,1,2,3,1,4,1,2,304,1,6,2,61,74,4,3,1,0,0,2,41,2,1,2,1,50,1,4,2,0,2,60,1,0,0,11,0,1,1,1,0,1,0,0,6,23
"Zotu117",6,49,67,10,6,5,134,30,9,40,9,12,8,48,106,3,10,9,8,11,61,10,15,252,22,26,169,104,10,153,13,12,12,51,22,5,155,80,81,293,12,207,5,2,15,6,3,5,4,12,10,114,31,84,2,2,3,3,5,3,6,34
"Zotu1310",3,2,4,32,83,4,1,3,0,2,2,2,0,2,3,3,21,0,1,3,7,0,0,2,0,2,4,3,2,1,1,1,1,0,0,1,0,0,1,0,0,0,0,22,1,0,0,0,1,0,1,1,0,1,30,24,0,0,1,13,1,2
"Zotu301",2,98,19,74,6,2,2,1,3,4,57,0,3,2,19,6,102,54,18,3,25,6,1,4,1,5,3,2,3,3,4,3,6,4,3,1,1,0,3,5,2,4,2,1,3,0,3,63,3,3,132,95,42,89,2,4,0,2,24,2,26,42
"Zotu2028",1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,1,0,0,1,1,0,2,1,0,0,112,1,0,0,1,0,0,0,0,0,0,1,1
"Zotu2165",4,2,1,1,0,0,5,0,1,0,1,6,0,19,7,0,10,0,0,1,17,1,0,0,0,1,3,1,1,14,0,0,0,8,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,5,19,0,0,1,1,0,1,13,5,1
"Zotu121",8,184,121,9,6,6,76,273,153,178,3,52,7,133,21,9,6,63,41,13,13,8,6,5,4,27,14,7,4,33,5,4,5,2,0,1,57,30,4,33,2,3,1,2,7,5,3,48,146,3,297,17,5,33,1,0,0,2,19,0,13,27
"Zotu657",2,2,3,2,3,3,4,0,3,1,2,2,3,1,2,1,1,4,0,2,1,0,145,170,0,1,3,1,21,3,5,1,0,0,0,1,77,24,30,2,0,4,1,0,1,0,0,0,1,0,0,0,1,1,10,11,6,1,2,1,1,0
"Zotu1593",2,1,1,2,0,0,177,0,0,0,1,1,1,3,1,3,3,2,1,0,0,0,1,0,1,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5
"Zotu4379",1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,5,3,0
"Zotu1782",2,2,1,52,66,0,1,1,0,0,0,1,1,4,5,2,21,0,0,0,1,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Zotu4306",2,0,0,10,9,0,0,0,1,0,0,0,0,1,0,0,22,0,0,1,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2
"Zotu483",2,0,12,0,0,1,0,0,7,0,0,0,0,0,4,0,1,50,0,0,0,0,3,0,0,0,0,1,0,0,1,4,4,45,7,4,3,37,29,115,2,55,4,1,2,61,54,3,1,143,3,23,3,27,4,3,2,0,2,3,3,2
"Zotu3738",1,1,0,23,1,0,1,1,0,0,0,3,1,0,2,0,10,0,0,1,0,1,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Zotu3403",1,6,0,1,0,2,0,0,3,0,0,0,0,27,0,0,0,0,7,0,1,0,0,0,1,0,2,0,1,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6
"Zotu4111",2,0,1,2,11,0,1,28,0,9,0,1,3,0,7,0,0,36,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0
"Zotu120",8,37,11,10,7,6,2,9,47,4,0,152,6,67,181,3,39,2,1,243,210,2,4,6,3,9,5,5,5,11,5,8,11,7,8,5,28,7,4,9,10,6,7,7,11,3,9,5,6,6,155,332,85,290,2,1,4,2,3,2,4,38
